Start time of the script: 22:25:22
Folder created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/ - 01-12-2023 - 4.0K
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzzzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzzzzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzzzzzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzzzzzzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzzzzzzzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzzzzzzzzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzzzzzzzzzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzzzzzzzzzzzz.az - 01-12-2023 - 3.0Mb
File created: /home/tina/DO4_LinuxMonitoring_v2.0-1/src/02/aaazz_011223/aaaazzzzzzzzzzzzzzzz.az - 01-12-2023 - 3.0Mb
